dataset,method,runs,pairwise_distance_distortion_mean,pairwise_distance_distortion_std,distance_rank_correlation_mean,distance_rank_correlation_std,knn_overlap_mean,knn_overlap_std,trustworthiness_mean,trustworthiness_std,continuity_mean,continuity_std,neighborhood_hit_mean,neighborhood_hit_std,silhouette_score_mean,silhouette_score_std,class_consistency_mean,class_consistency_std,elapsed_seconds_mean,elapsed_seconds_std
mnist_local,pca_2d,3,0.3743876616160075,0.004329248412838854,0.5042237893349221,0.01384386249925475,0.1378095238095238,0.002919168023617937,0.7401001719986241,0.013015397392203825,0.7401004471964224,0.01301558295637013,0.35714285714285715,0.020321229809053907,-0.0031603903238040707,0.0031338046437100254,0.41238095238095235,0.03692856375303105,0.23326666666666665,0.19342285858249078
mnist_local,gaussian_random_projection_32,3,0.09929173439741135,0.002108951939323115,0.7187111730154876,0.01498698672208676,0.4731904761904762,0.005608949764467304,0.9410524939800483,0.004216228766071599,0.9410522187822498,0.004216341775355801,0.5592380952380952,0.007882067249585276,0.015275667111078898,0.0027560677933704714,0.7252380952380952,0.009060141709733554,0.09963333333333334,0.010066887414798189
mnist_local,sparse_random_projection_32,3,0.09903428703546524,0.004242380405571278,0.7130231609950334,0.0412302628342107,0.47766666666666663,0.01301612465881399,0.939598624011008,0.009624754029761411,0.939598624011008,0.009624754029761411,0.5572380952380952,0.013569841177005739,0.012537610872338215,0.007370319822074072,0.7004761904761905,0.01083791112070578,0.09826666666666667,0.0010873004286866713
mnist_local,tsne_2d,3,0.3616844614346822,0.0013368202143712955,0.4269887565405514,0.010653286728337527,0.45599999999999996,0.007624700284061623,0.9317424148606811,0.0013351287911987121,0.9317424148606811,0.0013351287911987121,0.8211904761904761,0.014579985038360712,0.27880173921585083,0.018914461730723607,0.8795238095238095,0.0064241607443961965,2.8471666666666664,0.06801668096054742
mnist_local,umap_2d,3,0.43224767843882245,0.04037167169286159,0.3792854208336298,0.008787469122711883,0.43766666666666665,0.006633591421499604,0.9230281389748881,0.004229710699134688,0.9230296525627795,0.004231469264594996,0.8175238095238097,0.006425219584731493,0.3071390688419342,0.018784653403772084,0.888095238095238,0.0035634832254990345,6.352133333333334,3.618163407341109
mnist_local,autoencoder_2d,3,0.48955156405766803,0.016051715865901203,0.52582325369499,0.08958748789834081,0.2826666666666667,0.004882752281374695,0.8626169934640523,0.007215757595203855,0.8626169934640523,0.007215757595203855,0.5129523809523809,0.00990178526700733,-0.07383659233649571,0.03433634059348754,0.5985714285714286,0.015779087167410336,1.7242666666666666,0.3829691400390145
mnist_local,cnn_autoencoder_2d,3,0.41795120636622113,0.008244495083685084,0.5478234425311155,0.008871140323142032,0.21823809523809523,0.009193559808372026,0.8152121087031304,0.003898512569610624,0.8152121087031304,0.003898512569610651,0.40404761904761904,0.009655517849567198,-0.04540686681866646,0.011127749486397328,0.4928571428571428,0.015252968931473288,1.8316666666666668,0.12273756103527926
twenty_newsgroups,pca_2d,3,0.7310743613982567,0.0026992275378751904,0.08248345704053242,0.010579532377878455,0.03223809523809523,0.010543291598567607,0.602482421740626,0.009073585934754056,0.6041045751633988,0.008275624337148475,0.5068571428571428,0.020073673827986267,-0.04489737183964374,0.007477978661159198,0.5800000000000001,0.0290202837813192,0.3499666666666667,0.0025223445883190143
twenty_newsgroups,gaussian_random_projection_32,3,0.09905780478978175,0.0005705164956391124,0.27303148042970965,0.004941549589554057,0.3466190476190476,0.024950108947817008,0.903072858617131,0.010501583268909796,0.903545373237014,0.011373504581758865,0.31042857142857144,0.003406676118575199,-0.004477965080421632,0.0004108610545842475,0.3738095238095238,0.009428090415820633,0.34146666666666664,0.002329997615640181
twenty_newsgroups,sparse_random_projection_32,3,0.16027598732265763,0.0035993306826502315,0.21328328708518365,0.00795865037797344,0.16114285714285714,0.030012242400019883,0.6918460268317853,0.03549965585793296,0.6808733402132784,0.026850009470555648,0.3160476190476191,0.006850525907944538,-0.012227419512150001,0.0019435303226157448,0.37809523809523804,0.004096345365258398,0.3426666666666667,0.002329997615640187
twenty_newsgroups,tsne_2d,3,0.4100407410625726,0.0034405880091649436,0.09786340612227817,0.008200682932151777,0.04404761904761905,0.0018892223261787976,0.6000675610595115,0.0016948375860497806,0.6003346405228758,0.0028316241204154385,0.4587142857142857,0.005211186293449346,-0.011015327336887518,0.00408001504268636,0.520952380952381,0.01830703122546771,2.6967666666666665,0.09798313913911696
twenty_newsgroups,umap_2d,3,1.1141643944968835,0.07827779236139185,0.018391113770642564,0.0032254804796535536,0.036190476190476197,0.005372306581398268,0.5233000343997248,0.010732154082041957,0.5244642586859305,0.012618361415035827,0.2854285714285714,0.01007522724714595,-0.1874149888753891,0.004282662068265728,0.29285714285714287,0.009547589359887344,1.2675666666666665,0.04525942504667465
twenty_newsgroups,autoencoder_2d,3,0.655045814671155,0.020632309291465582,0.021533997159099164,0.005292316336972522,0.04004761904761905,0.0037075641256803273,0.6572752665978672,0.005333158587678617,0.657762779497764,0.006432503730931136,0.709047619047619,0.02405247475729079,0.06717301284273465,0.06062815060391228,0.7557142857142857,0.02393301309167442,1.5679666666666667,0.022221061080775484
digits_clean,pca_2d,3,0.34013251463572186,0.00354113527306695,0.5798367135756535,0.005507957453829983,0.1924761904761905,0.002629847861235072,0.8310732714138287,0.006005338161902706,0.8310762985896112,0.006000497549044243,0.5520952380952381,0.010766749857516456,0.1097559928894043,0.0024487339510855938,0.6280952380952382,0.01179953494606081,0.0381,0.0009416297927883704
digits_clean,gaussian_random_projection_32,3,0.09883466859658559,0.003937751496157168,0.751057090198899,0.01868692942535721,0.6865238095238095,0.006236095644623242,0.9879548675610595,0.0013204972709670376,0.987957894736842,0.0013199326582148893,0.8655714285714285,0.0058449350129939235,0.1305276503165563,0.00755659473102085,0.9323809523809524,0.0029354352395090234,0.04056666666666667,0.00041899350299921806
digits_clean,sparse_random_projection_32,3,0.10225194940964381,0.00158256918159306,0.7548710641959858,0.02820997006664412,0.6788095238095239,0.02257996623742929,0.9869640178878569,0.0040987383006501395,0.9869520467836258,0.004094460039144037,0.8697619047619048,0.018747274934248912,0.13278167694807053,0.014886394149400324,0.942857142857143,0.008164965809277275,0.04253333333333333,0.0013199326582148906
digits_clean,tsne_2d,3,0.3520248035589854,0.0017563408415734415,0.5120075851916034,0.009041445842800849,0.6220952380952381,0.0021956460730283,0.9807204678362572,0.0017797833007194093,0.9807155142758859,0.0017791877458177914,0.9677619047619048,0.003429232740455049,0.5566553870836893,0.015363694112345781,0.9752380952380952,0.0017817416127494776,1.2832333333333334,0.02831634784988265
digits_clean,umap_2d,3,0.4728856086730957,0.04305271386088376,0.35684247707739614,0.01629255936632841,0.5673333333333334,0.00478849717713389,0.983043825249398,0.0008557655097474356,0.9830531819745443,0.0008610357518719898,0.9554761904761904,0.004064669968166364,0.6151396830876669,0.01404743588459356,0.9685714285714285,0.0011664236870395773,1.2515,0.012067587441848835
digits_clean,autoencoder_2d,3,0.45680659015973407,0.017021015037661926,0.5303299256040832,0.028826402525425354,0.27276190476190476,0.013181275801151889,0.9188167870657035,0.007430534739910598,0.9188122463020297,0.007434129419145695,0.6820476190476191,0.021530656306711384,0.08439355591932933,0.007572879030861229,0.7661904761904762,0.01449059433781234,0.6849,0.017640294782117455
digits_clean,cnn_autoencoder_2d,3,0.4054022232691447,0.035428129445598484,0.5774181957138699,0.04463217501134093,0.20638095238095241,0.009721519248961903,0.8552798073615411,0.022410074395074864,0.8552776057791537,0.022413223607482102,0.5751904761904761,0.013072447700751758,0.09427859261631966,0.03299675387450949,0.6580952380952381,0.012580804584402763,0.7226666666666667,0.0236333568406089
digits_noisy,pca_2d,3,0.3460060905428417,0.0029553108542642904,0.5707578062100521,0.0057968596080742365,0.19166666666666668,0.0020113059125659687,0.8280173374613002,0.003966209717010145,0.8280173374613002,0.003966209717010145,0.5472857142857143,0.008349508112115694,0.10192271907110251,0.006408389671782459,0.6190476190476191,0.008597842897746582,0.04263333333333333,0.0012814921857827403
digits_noisy,gaussian_random_projection_32,3,0.09652856688943456,0.0023772523068179047,0.7439498358722174,0.021827273967977887,0.6347142857142858,0.004827641499633081,0.982619470244238,0.0030283561447698847,0.982619470244238,0.0030283561447698847,0.8248571428571428,0.005116333721357431,0.10625644087046915,0.006073571194030489,0.9185714285714286,0.007284313590846836,0.044333333333333336,0.0008055363982396365
digits_noisy,sparse_random_projection_32,3,0.10504812591396546,0.005694384872014744,0.744764167175735,0.02480646873660759,0.6061428571428571,0.019921273625377055,0.9786928104575163,0.004037940024366156,0.9786928104575163,0.004037940024366156,0.8196666666666667,0.020246888845857555,0.11138061730065345,0.014300884948468382,0.9109523809523811,0.009355658430661166,0.04756666666666667,0.002460803843372233
digits_noisy,tsne_2d,3,0.35522159239962564,0.0005504277702840277,0.5040426365660351,0.007902948480340448,0.5826190476190476,0.0010583862271853687,0.9775439972480221,0.0005182597830463358,0.9775439972480221,0.0005182597830463358,0.9528571428571428,0.001234426799696805,0.5350690881411234,0.0059481628941222804,0.9671428571428571,0.00420560041253707,1.3055333333333332,0.024744067751460846
digits_noisy,umap_2d,3,0.48547399283851317,0.015450866271770778,0.37027835426092076,0.02444844906554253,0.5431428571428571,0.0029439202887759407,0.979567664258686,0.002140861108816418,0.9795731682146543,0.002144089598636368,0.9483333333333333,0.008098318741560463,0.6002587676048279,0.02147385783167473,0.9642857142857144,0.0061721339984836645,1.2339333333333333,0.013733009704924751
digits_noisy,autoencoder_2d,3,0.38670833070226435,0.018463643129883626,0.5728405416403303,0.02146790842408397,0.2897619047619047,0.01439214323330867,0.9296894392844856,0.004822870126477074,0.9296894392844856,0.004822870126477074,0.7381428571428571,0.020891361362817735,0.17653244733810425,0.026085084579372274,0.8066666666666666,0.01942483624225822,0.6900333333333334,0.02220725607143355
digits_noisy,cnn_autoencoder_2d,3,0.362666812337826,0.0010155818551599667,0.5579100752572295,0.023751796481292935,0.20895238095238097,0.006600693978494431,0.8650863433092536,0.005902986236097166,0.8650863433092536,0.005902986236097166,0.5926190476190476,0.02064284341187,0.1272828752795855,0.035529186709057095,0.6733333333333333,0.024027572974367375,0.7197,0.017310305215872613
