experiment,dataset,method,target_dim,runs,elapsed_seconds_mean,elapsed_seconds_std,distance_rank_correlation_mean,distance_rank_correlation_std,knn_overlap_mean,knn_overlap_std,cosine_similarity_correlation_mean,cosine_similarity_correlation_std,estimated_flops_mean,estimated_flops_std,reconstruction_mse_mean,reconstruction_mse_std,relative_squared_error_mean,relative_squared_error_std,downstream_accuracy_mean,downstream_accuracy_std
image_clean,mnist_clean_reproduction,dct,10,5,0.0192932,0.0002603039761509609,0.632811609098571,0.00871506415290238,0.29100000000000004,0.00869247856905436,0.5567529519886516,0.01237864730786152,23520000.0,0.0,0.06967684030532836,7.293080445634108e-05,0.6143055558204651,0.0011795869777839665,0.7353333333333334,0.009392668535736911
image_clean,mnist_clean_reproduction,dct,25,5,0.0191448,0.0003533510435813084,0.792821821213194,0.0055291476612301165,0.5010285714285715,0.00875162958586364,0.7539262677373587,0.004778797328324147,23520000.0,0.0,0.05132033079862595,9.358630366576688e-05,0.45246517062187197,0.0009680160820665795,0.8586666666666666,0.0111753697428268
image_clean,mnist_clean_reproduction,dct,50,5,0.019584200000000003,0.00032147995271867294,0.8979493858005039,0.005334815845787871,0.656142857142857,0.004261838254336094,0.8838939882911383,0.003765741243534989,23520000.0,0.0,0.03511974066495895,4.218360650276561e-05,0.30963258147239686,0.00031818927546442197,0.8879999999999999,0.013597385369580743
image_clean,mnist_clean_reproduction,dct,100,5,0.019746000000000003,0.0005105835876719896,0.9671855136704742,0.001045108490683999,0.7968285714285714,0.003588416739159191,0.9661431753415324,0.0013365729182064656,23520000.0,0.0,0.018165448680520058,4.124937632663286e-05,0.16015547513961792,0.00039728195858485817,0.8996666666666666,0.01765093639316498
image_clean,mnist_clean_reproduction,dct,200,5,0.0204358,0.00038065963799699024,0.9936606461458434,0.00025851882075564916,0.8991714285714287,0.0019365443660378653,0.9942583679161976,0.0003809089943213005,23520000.0,0.0,0.007436685636639595,3.284864168983757e-05,0.06556565910577775,0.0003389931868835261,0.885,0.018408935028645428
image_clean,mnist_clean_reproduction,dct,400,5,0.0214584,0.0003831540682284344,0.9994192461108113,5.024889789929521e-06,0.9623142857142858,0.002082776796412325,0.9996217413767235,3.406506004996266e-05,23520000.0,0.0,0.0024459568783640863,3.6700476078772475e-06,0.021564751490950586,3.911498105895451e-05,0.8843333333333334,0.012046207333061767
image_clean,mnist_clean_reproduction,dct,700,5,0.0225566,0.0003314631804590058,0.9999800254312279,9.493550244184822e-07,0.9933714285714286,0.000655276853781737,0.9999922738943965,2.4448938619394623e-07,23520000.0,0.0,0.00026794865843839946,1.2121478709313182e-06,0.002362353727221489,7.797453198346077e-06,0.8863333333333333,0.005312459150169738
image_clean,mnist_clean_reproduction,pca,10,5,0.0121722,0.0005596210860930811,0.8549705985438545,0.006155713552298822,0.5742,0.002956280067370952,0.674430703425994,0.015433655916582573,23520000.0,0.0,0.03462301045656204,4.5471596537578285e-05,0.3052532374858856,0.00040617378518116685,0.7999999999999999,0.021628170930011133
image_clean,mnist_clean_reproduction,pca,25,5,0.01662,0.0005828227861022594,0.9448879511650915,0.0012346562658144514,0.7528857142857143,0.0032831045536510944,0.7398293286062584,0.016066646218066766,58800000.0,0.0,0.020632209628820418,4.298223007529334e-05,0.18190376460552216,0.00047019753876462677,0.8753333333333334,0.013556466271775178
image_clean,mnist_clean_reproduction,pca,50,5,0.025178,0.0008459827421407601,0.98215984905018,0.0003841710560775281,0.856457142857143,0.0038176817412601443,0.7470763701301466,0.005905404730600344,117600000.0,0.0,0.011585723794996738,4.746806977711733e-05,0.10214569121599197,0.0004940834406406811,0.8776666666666667,0.009809292646374786
image_clean,mnist_clean_reproduction,pca,100,5,0.0330274,0.0010830807172136346,0.9963804405985517,0.00012641517715758784,0.9268857142857143,0.004268919473284601,0.7586689654645956,0.009595740784926074,235200000.0,0.0,0.005522468127310276,2.7249238982662465e-05,0.048688966780900955,0.0002803319515809726,0.8886666666666667,0.014506703431325945
image_clean,mnist_clean_reproduction,pca,200,5,0.061892199999999994,0.003918712717207019,0.9993786919754152,2.2009151280528268e-05,0.9705714285714286,0.0008131571126147178,0.7588729232775159,0.00845175451613466,470400000.0,0.0,0.0020645583979785444,1.1669519334059365e-05,0.018202224746346474,0.00011584700340139745,0.8823333333333332,0.009463379711052251
image_clean,mnist_clean_reproduction,pca,400,5,0.12715959999999998,0.002919270155364177,0.999951203925398,2.2774163174496345e-06,0.9936285714285713,0.00037904283318346575,0.7585013887041473,0.013445492225975656,940800000.0,0.0,0.00022279385011643172,4.665222579149422e-06,0.00196430585347116,4.335434960645732e-05,0.8873333333333333,0.011185307823708319
image_clean,mnist_clean_reproduction,pca,700,5,0.0945114,0.0035111148428953456,0.9999999945210858,1.4045090940964087e-09,0.999942857142857,6.998542122241543e-05,0.7614521856538289,0.009069247358996925,1646400000.0,0.0,2.9841326458501795e-12,7.426904071003681e-13,2.6315476533977922e-11,6.581467801797408e-12,0.8793333333333333,0.009865765724632483
image_clean,mnist_clean_reproduction,rp,10,5,0.0750096,0.14508880632578103,0.533996836264735,0.016386721043826415,0.24597142857142856,0.008428038724086033,0.4790445642203037,0.060431047936865115,23520000.0,0.0,9.944740676879883,2.191388903974406,87.68506774902343,19.352376037157175,0.534,0.023748684174075836
image_clean,mnist_clean_reproduction,rp,25,5,0.0022084,0.00011438811127035896,0.6943024384631233,0.0247492911235878,0.4354857142857143,0.008107743841789857,0.648914314405649,0.0346373966098103,58800000.0,0.0,3.2130345344543456,0.24598841360023818,28.325051879882814,2.135043049979882,0.7190000000000001,0.031173350441968492
image_clean,mnist_clean_reproduction,rp,50,5,0.0028133999999999998,0.00013345950696746925,0.7923128957298567,0.01801612766125658,0.5721428571428572,0.007614701141173405,0.77446921635722,0.006116635933036761,117600000.0,0.0,1.75184063911438,0.09898327210082566,15.44601650238037,0.8892916819624335,0.8119999999999999,0.009966610925150695
image_clean,mnist_clean_reproduction,rp,100,5,0.0039678,0.00014871771918638333,0.8698538912037745,0.01039910304351803,0.6837142857142857,0.008218942779224286,0.86547907730617,0.005195001446595187,235200000.0,0.0,0.9427026271820068,0.08849298627324426,8.311645889282227,0.7829902855138553,0.842,0.01142122779934122
image_clean,mnist_clean_reproduction,rp,200,5,0.006685399999999999,0.0002569183527893637,0.9350526835604878,0.0050282522511128185,0.7715428571428571,0.0075578854617585735,0.9245063382390176,0.0022063271430658076,470400000.0,0.0,0.4394240140914917,0.0200799476942159,3.874205493927002,0.17759531432613312,0.867,0.01275408431313932
image_clean,mnist_clean_reproduction,rp,400,5,0.0118284,0.00018078230001855825,0.9648339767572713,0.0020499524855712567,0.8320857142857143,0.001955838981728488,0.9606759358757818,0.0026251993545308864,940800000.0,0.0,0.23050535321235657,0.0077662719619291274,2.0323318004608155,0.07105859331215209,0.8766666666666667,0.012156388352540303
image_clean,mnist_clean_reproduction,rp,700,5,0.0190508,0.0006915470772116671,0.9788695567932557,0.0014148710657592317,0.8718571428571428,0.005611940622549434,0.9762951498708571,0.0010754750492699642,1646400000.0,0.0,0.12647696137428283,0.0040660393846271075,1.1151175022125244,0.036967442690429765,0.882,0.009510228411791395
image_clean,mnist_clean_reproduction,srp,10,5,0.0035968,0.0001172116035211531,0.5047057488207211,0.04464710829781574,0.24531428571428573,0.0056722741363188,0.48793263711945495,0.02104872348755405,23520000.0,0.0,10.908487510681152,2.3390189725475654,96.15989685058594,20.540966922723786,0.5033333333333333,0.043371777818197774
image_clean,mnist_clean_reproduction,srp,25,5,0.0038024,0.00017183899441046562,0.62491187285358,0.029408446897236578,0.41171428571428575,0.021035441424376293,0.625986415292086,0.04255663703639273,58800000.0,0.0,3.285599946975708,0.4171497465701049,28.969732666015624,3.6936149854771205,0.7073333333333334,0.02632278269653283
image_clean,mnist_clean_reproduction,srp,50,5,0.0046166,0.00019713102241910075,0.788826466817716,0.010945948025115282,0.5609999999999999,0.013434952891010586,0.758190191848926,0.009624818971101921,117600000.0,0.0,1.8226140975952148,0.11031470351876912,16.06985397338867,0.9855476691863528,0.8143333333333332,0.006200358412579406
image_clean,mnist_clean_reproduction,srp,100,5,0.0064054,0.00023144900086196106,0.86918151755177,0.00956074648086106,0.6735428571428572,0.00850901083006258,0.8590757679239491,0.012599993288433455,235200000.0,0.0,0.9269845008850097,0.06933258296496433,8.172161865234376,0.6034967785225887,0.8459999999999999,0.014126413400278053
image_clean,mnist_clean_reproduction,srp,200,5,0.009217,0.00035475681811629803,0.9292947259666423,0.0055835577909868995,0.7522857142857143,0.004559806655406993,0.9174060420475367,0.004790996943881457,470400000.0,0.0,0.44691004157066344,0.02115373727767328,3.9400017738342283,0.1827474721809918,0.8593333333333332,0.014087031072743627
image_clean,mnist_clean_reproduction,srp,400,5,0.014679999999999999,0.00043914963281323595,0.9608287918436375,0.0012971609849940112,0.8244,0.0027633165521429356,0.9551231744033298,0.003470827119524607,940800000.0,0.0,0.2312725692987442,0.007992891063324577,2.038953495025635,0.06876475739553123,0.8763333333333334,0.009213516640723536
image_clean,mnist_clean_reproduction,srp,700,5,0.022612200000000002,0.0002697928093926899,0.9767503199395561,0.002215353928608492,0.8675714285714287,0.0033233865196789117,0.9739033802318012,0.003717653928309071,1646400000.0,0.0,0.12913326919078827,0.005774209752212963,1.1385209560394287,0.05133625355064402,0.875,0.01588150566609547
image_noisy,mnist_noisy_reproduction,dct,10,5,0.019304400000000003,0.0002981211834137251,0.6081324456801024,0.008313617802398768,0.2553428571428572,0.0017157136909717347,0.4337577036409471,0.01756357821849246,23520000.0,0.0,0.0659463107585907,9.175491142480267e-05,0.5436809659004211,0.0008745680079382681,0.6789999999999999,0.020483055327649616
image_noisy,mnist_noisy_reproduction,dct,25,5,0.0190956,0.0005241421944472706,0.7737846149221048,0.007963473756857681,0.46240000000000003,0.010385390051924525,0.6709678461055523,0.010754501780249007,23520000.0,0.0,0.05258738100528717,9.659002687377813e-05,0.43354579210281374,0.0007761145001025725,0.825,0.005477225575051639
image_noisy,mnist_noisy_reproduction,dct,50,5,0.0196224,0.0002762611807692134,0.8846437772787572,0.003345478607649701,0.6159428571428571,0.006907316440424848,0.8097700446771958,0.0019197354758530931,23520000.0,0.0,0.04049558266997337,4.4592803880377245e-05,0.33385745882987977,0.0003328708587150332,0.8583333333333334,0.009368979548370142
image_noisy,mnist_noisy_reproduction,dct,100,5,0.019801,0.0004838565903240332,0.9554536048729336,0.0009575659504559159,0.7556571428571428,0.0076615126124156335,0.9187583679583854,0.002144283708493421,23520000.0,0.0,0.02727241665124893,1.48345359049025e-05,0.22484208941459655,0.00036643782075548284,0.8816666666666666,0.012605113600792698
image_noisy,mnist_noisy_reproduction,dct,200,5,0.0206204,0.00019220052029065863,0.9880536054155048,0.0006295438760401527,0.8554285714285715,0.006028503723384121,0.973850463658005,0.0013491762958278662,23520000.0,0.0,0.01744123362004757,2.5085104404207987e-05,0.14379090666770936,0.0003364219759399031,0.8789999999999999,0.008205689083394118
image_noisy,mnist_noisy_reproduction,dct,400,5,0.021491800000000002,0.0003358323391217706,0.9972720414999738,5.8054324183161534e-05,0.9172,0.003667396340507472,0.9941439057581165,0.00034177953237390696,23520000.0,0.0,0.009707827307283878,1.126514534540783e-05,0.08003426641225815,0.00014851803862849078,0.8753333333333334,0.013678856352455434
image_noisy,mnist_noisy_reproduction,dct,700,5,0.022569200000000005,0.0005420126935782966,0.9996390592276387,1.0833956402763195e-05,0.966057142857143,0.001753364113436105,0.999581560536558,1.2267032396874149e-05,23520000.0,0.0,0.0019452106673270464,4.2111239424337885e-06,0.01603693962097168,5.3453805534194854e-05,0.8786666666666667,0.010132456102380432
image_noisy,mnist_noisy_reproduction,nmf,10,5,0.21874020000000005,0.06579147999976896,0.5669688903072929,0.09681558213293617,0.3962285714285714,0.019771676299026073,0.6221393829177949,0.011944587698689712,235200000.0,0.0,0.04327665343880653,3.620157326012725e-05,0.3567860722541809,0.000726881779176751,0.7273333333333334,0.011999999999999993
image_noisy,mnist_noisy_reproduction,nmf,25,5,0.7418582,0.015418029438290739,0.635499495314494,0.04382602529738204,0.3982,0.008162932646283146,0.5825233779630126,0.027468858720060822,588000000.0,0.0,0.03382173255085945,1.826720025476405e-05,0.2788366377353668,0.0004558468443061354,0.6916666666666667,0.028518999514943248
image_noisy,mnist_noisy_reproduction,nmf,50,5,2.0576672,0.0190506402559073,0.6497127823058788,0.03548324337531192,0.3737714285714286,0.012105859603295174,0.6042627908460867,0.022500062436234914,1176000000.0,0.0,0.025906718522310256,4.5511462768305974e-05,0.21358302533626555,0.0005653642240626847,0.6376666666666667,0.012092238098144699
image_noisy,mnist_noisy_reproduction,nmf,100,5,6.2998214,0.04645651677256915,0.520968261541857,0.06212737850320156,0.2945714285714286,0.011146885718643104,0.5459279702658076,0.040841276089101354,2352000000.0,0.0,0.01937295086681843,3.529021031744606e-05,0.15971667766571046,0.0004499228870758689,0.5873333333333333,0.01236482466066095
image_noisy,mnist_noisy_reproduction,nmf,200,5,22.453329200000002,0.051891635940293654,0.3571713679117173,0.07187922332430595,0.19548571428571426,0.020404401285917067,0.4411917190396341,0.03706325521529061,4704000000.0,0.0,0.01377420723438263,2.5146586781724914e-05,0.11355873197317123,0.00026274198706779397,0.5319999999999999,0.0114212277993412
image_noisy,mnist_noisy_reproduction,nmf,400,5,92.9156136,0.22367299083850317,0.2385967018427287,0.04874845785944681,0.12897142857142857,0.014524686936806749,0.3086979527596151,0.03116956021846693,9408000000.0,0.0,0.007133768498897552,3.763068181256317e-05,0.05881299152970314,0.000329743042684272,0.49366666666666664,0.039796705614633214
image_noisy,mnist_noisy_reproduction,nmf,700,5,294.69530619999995,0.24563467178751588,0.21084394131914247,0.08523540716239898,0.0758,0.009131063822502401,0.21049651645362494,0.061298022450870765,16464000000.0,0.0,0.0014476675074547528,3.789581158505656e-05,0.011935219541192055,0.0003207181799023622,0.5123333333333333,0.043507342930692604
image_noisy,mnist_noisy_reproduction,pca,10,5,0.0119728,0.0005019280426515337,0.8384390170055565,0.0047820554394924246,0.5508285714285714,0.003215269690659473,0.6544353685628812,0.004967214718527706,23520000.0,0.0,0.04075088277459145,1.9615256808546306e-05,0.3359624624252319,0.0004039757980012817,0.797,0.017074997966487586
image_noisy,mnist_noisy_reproduction,pca,25,5,0.016689799999999998,0.0002684014903088278,0.9333772019887885,0.0032191003349138964,0.7172571428571428,0.009484423320069869,0.7125292631762435,0.006774301588595959,58800000.0,0.0,0.030222983658313753,3.543476887383541e-05,0.24916730523109437,0.0003905597289796353,0.8563333333333333,0.010873004286866727
